                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0444,                 5.1164,                 1.7634,                0.00152,                 0.1767,                0.03851,                0.02564,                 1.7097,                 3.8977,                 1.5984,             0.00018337,             0.00018337,             0.00018337
                      2,                 1.5086,                 3.7176,                 1.2854,                0.00243,                0.39725,                0.07728,                0.04698,                 1.4431,                 3.5514,                 1.1997,             0.00034545,             0.00034545,             0.00034545
                      3,                 1.4757,                 3.1454,                 1.1927,                0.00249,                0.38112,                0.06734,                 0.0365,                 1.4428,                 3.6065,                 1.1968,             0.00046793,             0.00046793,             0.00046793
                      4,                 1.4839,                 2.7612,                 1.1962,                0.00229,                0.35388,                0.08685,                0.05606,                 1.4218,                 3.4136,                 1.1766,             0.00055079,             0.00055079,             0.00055079
                      5,                 1.4717,                 2.6528,                 1.2235,                0.81608,                0.02379,                0.32572,                0.19309,                  1.337,                 3.0618,                 1.1198,             0.00059405,             0.00059405,             0.00059405
                      6,                 1.3986,                 2.4761,                 1.1554,                0.63155,                0.09177,                0.33326,                0.20324,                   1.46,                 2.7455,                 1.1642,              0.0005977,              0.0005977,              0.0005977
                      7,                 1.3828,                 2.5377,                 1.1556,                0.86138,                0.15682,                 0.4487,                0.28207,                 1.4603,                   2.67,                 1.1912,             0.00056175,             0.00056175,             0.00056175
                      8,                 1.3887,                 2.4014,                 1.1502,                0.78181,                0.43558,                0.55619,                 0.3585,                 1.3528,                 2.0647,                 1.1684,             0.00048618,             0.00048618,             0.00048618
                      9,                 1.3332,                 2.0955,                  1.115,                 0.7959,                0.47675,                0.55312,                0.35158,                 1.4075,                 2.0854,                 1.1716,             0.00034674,             0.00034674,             0.00034674
                     10,                 1.2439,                 2.1713,                 1.1037,                0.80327,                0.55044,                0.68082,                 0.4421,                  1.379,                 1.8052,                  1.131,              0.0001817,              0.0001817,              0.0001817
