                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0729,                  4.499,                 1.6939,                0.00268,                0.34994,                0.04702,                0.03006,                 1.5284,                 3.7564,                 1.2953,             0.00018337,             0.00018337,             0.00018337
                      2,                 1.5381,                 3.0612,                 1.2989,                 0.0022,                0.36631,                0.11217,                 0.0722,                 1.3989,                 3.4668,                 1.1409,             0.00037392,             0.00037392,             0.00037392
                      3,                 1.4412,                 2.5767,                 1.2188,                0.00296,                0.43931,                 0.1103,                0.05693,                 1.4052,                 3.3907,                  1.184,             0.00055457,             0.00055457,             0.00055457
                      4,                 1.5079,                 2.6767,                 1.2434,                0.85984,                0.03704,                 0.0689,                0.04114,                 1.4277,                 3.2525,                 1.1711,             0.00072532,             0.00072532,             0.00072532
                      5,                 1.4234,                 2.3822,                 1.1798,                0.42125,                0.05945,                0.23006,                0.13198,                 1.4112,                 2.9449,                 1.2218,             0.00088616,             0.00088616,             0.00088616
                      6,                  1.321,                 2.2005,                 1.1888,                 0.4958,                0.09288,                 0.2337,                0.13793,                 1.4274,                 2.8281,                 1.2368,              0.0010371,              0.0010371,              0.0010371
                      7,                 1.4199,                 2.2167,                 1.2037,                0.37872,                0.20211,                0.21134,                 0.1101,                 1.5725,                 2.7849,                 1.3821,              0.0011781,              0.0011781,              0.0011781
                      8,                 1.4329,                  1.888,                 1.2358,                 0.5366,                0.39946,                0.47488,                0.25398,                 1.4913,                 2.3157,                 1.2824,              0.0013093,              0.0013093,              0.0013093
                      9,                 1.4827,                 1.9375,                  1.274,                0.30663,                0.37826,                0.28685,                0.17251,                 1.4667,                 2.2177,                 1.3111,              0.0013369,              0.0013369,              0.0013369
                     10,                  1.379,                 1.8134,                 1.1891,                0.66855,                0.56834,                 0.6212,                0.37783,                 1.4781,                 1.6532,                 1.3058,              0.0012957,              0.0012957,              0.0012957
                     11,                 1.3058,                 1.7413,                 1.1548,                0.81397,                0.60514,                0.68468,                0.43282,                  1.474,                 1.5718,                 1.2462,              0.0012544,              0.0012544,              0.0012544
                     12,                 1.3737,                 1.6886,                 1.1975,                0.73191,                0.54301,                0.63101,                0.37197,                 1.4976,                  1.827,                 1.2917,              0.0012132,              0.0012132,              0.0012132
                     13,                 1.4143,                 1.7123,                 1.1372,                0.81151,                0.64112,                0.72816,                0.41414,                 1.4825,                 1.5675,                 1.2599,              0.0011719,              0.0011719,              0.0011719
                     14,                 1.4041,                 1.5532,                 1.1878,                0.77377,                0.73463,                0.72003,                0.40506,                 1.4824,                 1.5652,                 1.2175,              0.0011306,              0.0011306,              0.0011306
                     15,                 1.3639,                 1.5021,                 1.1622,                0.83799,                0.72786,                0.76245,                0.43781,                 1.4278,                 1.5082,                 1.2216,              0.0010894,              0.0010894,              0.0010894
                     16,                 1.2378,                 1.3918,                 1.1509,                0.81578,                0.56469,                0.66821,                0.40096,                 1.4812,                 1.4362,                  1.217,              0.0010481,              0.0010481,              0.0010481
                     17,                 1.3469,                 1.4751,                 1.1739,                0.62423,                0.66941,                0.60288,                0.35711,                 1.4335,                 1.4452,                 1.2394,              0.0010069,              0.0010069,              0.0010069
                     18,                 1.3078,                 1.3385,                 1.1711,                0.61924,                0.74573,                0.70863,                0.40908,                 1.4467,                 1.3712,                 1.1899,             0.00096561,             0.00096561,             0.00096561
                     19,                  1.381,                 1.4426,                  1.163,                0.69603,                0.75797,                0.75425,                 0.4453,                 1.3772,                 1.1911,                  1.168,             0.00092435,             0.00092435,             0.00092435
                     20,                 1.3019,                 1.3444,                 1.1261,                0.75319,                0.70295,                0.75876,                0.43062,                 1.4024,                 1.1647,                 1.1524,             0.00088309,             0.00088309,             0.00088309
                     21,                 1.2789,                 1.3191,                 1.1271,                0.64786,                0.78806,                 0.7188,                0.40956,                 1.4144,                 1.2118,                  1.177,             0.00084184,             0.00084184,             0.00084184
                     22,                 1.2807,                  1.199,                 1.1216,                0.82502,                0.83292,                0.86693,                0.52305,                 1.3242,                0.99781,                 1.1293,             0.00080058,             0.00080058,             0.00080058
                     23,                 1.3162,                 1.2243,                 1.1484,                0.84621,                0.73403,                0.82549,                0.49202,                 1.3497,                 1.1203,                 1.1482,             0.00075932,             0.00075932,             0.00075932
                     24,                 1.2134,                 1.1732,                 1.1246,                0.85242,                0.80239,                0.86491,                0.49776,                 1.3849,                 1.0512,                 1.1765,             0.00071806,             0.00071806,             0.00071806
                     25,                  1.218,                 1.0849,                 1.0938,                 0.8691,                 0.8466,                0.89031,                0.52509,                 1.3333,                0.97877,                 1.1482,              0.0006768,              0.0006768,              0.0006768
                     26,                 1.2197,                 1.0317,                 1.1127,                0.87992,                0.84862,                0.89645,                0.54943,                 1.3187,                0.95499,                 1.1443,             0.00063554,             0.00063554,             0.00063554
                     27,                 1.2002,                 1.1486,                 1.0732,                0.89559,                 0.8764,                 0.9087,                0.52065,                   1.41,                 1.0011,                 1.1884,             0.00059429,             0.00059429,             0.00059429
                     28,                 1.1445,                 1.0533,                 1.0623,                0.94974,                0.81935,                0.90784,                0.51057,                 1.4384,                0.93744,                 1.2101,             0.00055303,             0.00055303,             0.00055303
                     29,                 1.1765,                 1.1034,                 1.1031,                0.91026,                0.82303,                0.89756,                0.54137,                 1.3554,                0.89747,                  1.173,             0.00051177,             0.00051177,             0.00051177
                     30,                 1.0919,                 0.9787,                 1.0491,                 0.8742,                0.82276,                0.87892,                0.52636,                 1.3517,                0.94007,                 1.1548,             0.00047051,             0.00047051,             0.00047051
                     31,                 1.1576,                  1.121,                 1.0478,                0.91333,                0.82782,                0.85924,                0.51086,                 1.3715,                0.97875,                 1.1619,             0.00042925,             0.00042925,             0.00042925
                     32,                 1.1251,                 1.0532,                 1.0639,                0.95104,                0.79918,                0.85447,                0.52867,                 1.3563,                0.98161,                 1.1597,             0.00038799,             0.00038799,             0.00038799
                     33,                 1.0675,                 0.9854,                  1.042,                0.95963,                  0.808,                0.87211,                0.54237,                 1.3287,                0.97101,                 1.1645,             0.00034674,             0.00034674,             0.00034674
                     34,                 1.0671,                 1.0013,                 1.0557,                0.87772,                0.80576,                0.86937,                0.53467,                 1.3398,                 0.9459,                 1.1749,             0.00030548,             0.00030548,             0.00030548
                     35,                 1.0873,                0.99043,                 1.0557,                0.90506,                0.83653,                 0.8945,                 0.5498,                 1.3308,                0.90846,                 1.1488,             0.00026422,             0.00026422,             0.00026422
                     36,                 1.0411,                0.93813,                 1.0022,                0.93217,                0.80615,                0.88936,                0.54977,                 1.3334,                0.89864,                 1.1376,             0.00022296,             0.00022296,             0.00022296
                     37,                 1.0855,                0.96834,                 1.0296,                0.91385,                0.78802,                0.85991,                0.54359,                 1.3333,                0.87791,                 1.1376,              0.0001817,              0.0001817,              0.0001817
                     38,                 1.0241,                0.90564,                 1.0041,                 0.8782,                0.83247,                0.86336,                0.54547,                 1.3266,                0.85776,                  1.141,             0.00014044,             0.00014044,             0.00014044
                     39,                0.99465,                0.87126,                0.98876,                0.91526,                0.82652,                0.87259,                0.55989,                 1.3231,                0.84286,                 1.1414,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     40,                 1.0217,                0.88002,                 1.0012,                 0.9247,                0.82248,                0.87553,                0.55333,                 1.3272,                0.83376,                 1.1427,             5.7928e-05,             5.7928e-05,             5.7928e-05
