                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1439,                 0.6098,                 1.2866,                0.92383,                0.78591,                0.89457,                0.45547,                 1.7546,                0.90119,                 1.6243,             0.00065359,             0.00065359,             0.00065359
                      2,                 1.2197,                0.64064,                 1.3256,                0.82738,                0.72504,                 0.8032,                0.36731,                 1.9108,                 1.1659,                 1.7598,              0.0012876,              0.0012876,              0.0012876
                      3,                 1.2827,                 0.7253,                 1.3763,                 0.8763,                 0.7373,                0.82833,                0.39896,                 1.8467,                 1.0923,                  1.727,              0.0018886,              0.0018886,              0.0018886
                      4,                 1.3462,                0.78509,                 1.4421,                0.87155,                0.68301,                0.79824,                0.37692,                 1.8537,                 1.1444,                 1.7588,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.3735,                0.81835,                 1.4557,                0.81314,                0.76211,                0.83036,                0.41156,                 1.7924,                 1.0659,                 1.6423,               0.001802,               0.001802,               0.001802
                      6,                 1.3701,                0.78713,                 1.4409,                0.84139,                0.71533,                0.81692,                0.41223,                 1.7749,                 1.0934,                 1.6182,              0.0017525,              0.0017525,              0.0017525
                      7,                 1.3662,                0.82732,                 1.4404,                0.84434,                0.74099,                0.83602,                 0.4191,                 1.7795,                 1.0427,                  1.628,               0.001703,               0.001703,               0.001703
                      8,                 1.3518,                0.80397,                 1.4365,                0.83627,                0.78714,                0.85648,                0.41864,                 1.7585,                0.97096,                 1.6022,              0.0016535,              0.0016535,              0.0016535
                      9,                 1.3207,                 0.7555,                 1.3962,                0.87489,                0.70753,                0.79696,                0.41131,                 1.7498,                 1.2169,                 1.5944,               0.001604,               0.001604,               0.001604
                     10,                 1.3242,                0.76639,                 1.4145,                0.83628,                0.74431,                0.81263,                0.41623,                 1.7392,                 1.1305,                 1.6003,              0.0015545,              0.0015545,              0.0015545
                     11,                 1.3193,                0.75805,                 1.4137,                0.86685,                0.79814,                0.87659,                0.43482,                 1.7589,                 0.9038,                 1.6207,               0.001505,               0.001505,               0.001505
                     12,                 1.2978,                 0.7254,                 1.3827,                0.86582,                0.71192,                 0.8163,                0.40743,                 1.8046,                 1.1173,                 1.6749,              0.0014555,              0.0014555,              0.0014555
                     13,                 1.3404,                0.73782,                 1.4323,                0.82204,                0.75234,                0.81038,                 0.4033,                 1.7982,                 1.0812,                 1.6575,               0.001406,               0.001406,               0.001406
                     14,                 1.3195,                0.77132,                 1.4223,                 0.8832,                0.76532,                0.85663,                0.43838,                  1.717,                0.96616,                 1.5947,              0.0013565,              0.0013565,              0.0013565
                     15,                 1.2668,                0.70964,                 1.3774,                0.87235,                0.78634,                0.86984,                0.45325,                 1.7132,                0.97627,                 1.5676,               0.001307,               0.001307,               0.001307
                     16,                 1.2476,                0.68889,                   1.36,                0.87661,                 0.8087,                0.88433,                0.43716,                 1.8582,                0.92752,                  1.691,              0.0012575,              0.0012575,              0.0012575
                     17,                 1.2672,                0.68749,                 1.3637,                0.92103,                0.79657,                0.89636,                0.44437,                 1.7887,                0.88937,                 1.6404,               0.001208,               0.001208,               0.001208
                     18,                 1.2358,                0.65745,                  1.354,                0.90935,                0.81611,                 0.9064,                0.46027,                 1.7354,                0.86369,                 1.5774,              0.0011585,              0.0011585,              0.0011585
                     19,                 1.2045,                0.64354,                 1.3285,                0.90381,                0.79335,                 0.8848,                 0.4427,                 1.7792,                0.99763,                 1.6443,               0.001109,               0.001109,               0.001109
                     20,                 1.1891,                0.62206,                 1.3123,                0.90087,                0.80035,                0.89831,                0.45995,                 1.7591,                0.89587,                 1.5993,              0.0010595,              0.0010595,              0.0010595
                     21,                 1.1785,                0.62115,                 1.3038,                0.92845,                 0.7951,                0.88532,                0.43265,                 1.7838,                0.88049,                 1.6456,                0.00101,                0.00101,                0.00101
                     22,                 1.2093,                0.63131,                 1.3153,                0.90947,                0.82686,                0.90542,                0.46212,                 1.7517,                0.88974,                 1.5809,              0.0009605,              0.0009605,              0.0009605
                     23,                  1.177,                0.60347,                 1.3076,                0.90504,                0.80115,                0.89192,                0.46394,                 1.7398,                0.89349,                 1.6055,               0.000911,               0.000911,               0.000911
                     24,                 1.1588,                0.60048,                  1.286,                 0.9282,                0.78459,                0.89471,                0.46648,                 1.7287,                 0.8806,                 1.5846,              0.0008615,              0.0008615,              0.0008615
                     25,                 1.1398,                0.58372,                 1.2803,                0.91223,                 0.7827,                0.87524,                0.45251,                 1.7685,                0.94704,                 1.6286,               0.000812,               0.000812,               0.000812
                     26,                 1.1012,                0.57826,                 1.2515,                0.89146,                0.82837,                0.90638,                0.47377,                 1.7188,                0.83034,                 1.5861,              0.0007625,              0.0007625,              0.0007625
                     27,                 1.0836,                0.55108,                 1.2396,                 0.8964,                0.81961,                0.89908,                 0.4819,                 1.6932,                 0.8492,                 1.5589,               0.000713,               0.000713,               0.000713
                     28,                 1.0646,                0.54965,                  1.228,                0.90447,                0.79587,                0.88558,                0.46739,                 1.7483,                0.91753,                 1.5899,              0.0006635,              0.0006635,              0.0006635
                     29,                 1.0636,                 0.5499,                  1.228,                0.89779,                0.80736,                0.89342,                0.46867,                 1.7032,                0.86209,                 1.5828,               0.000614,               0.000614,               0.000614
                     30,                 1.0285,                 0.5247,                 1.2058,                0.91288,                0.82575,                0.89904,                0.48163,                 1.7154,                0.85995,                 1.5961,              0.0005645,              0.0005645,              0.0005645
                     31,                 1.0197,                0.51903,                  1.202,                0.89143,                0.80911,                0.89296,                 0.4667,                 1.7784,                0.91159,                 1.6763,               0.000515,               0.000515,               0.000515
                     32,                0.99779,                0.50615,                 1.1987,                 0.9197,                0.81261,                0.90306,                0.46719,                 1.7626,                 0.8867,                  1.637,              0.0004655,              0.0004655,              0.0004655
                     33,                0.99104,                0.50022,                 1.1915,                0.87035,                0.85639,                0.90345,                0.47232,                 1.7329,                0.83611,                 1.6134,               0.000416,               0.000416,               0.000416
