               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07604,            0.031656,                   0,             0.38393,             0.60946,             0.35892,              0.1232,             0.05108,             0.01901,                   0,            0.070075,            0.003325,            0.003325
                   1,            0.053406,            0.023878,                   0,             0.44646,             0.74431,             0.57786,             0.19086,            0.046094,            0.013672,                   0,            0.039745,           0.0063288,           0.0063288
                   2,            0.048982,             0.02116,                   0,             0.70217,             0.70928,             0.72379,             0.26465,            0.040489,            0.012874,                   0,           0.0090854,           0.0090025,           0.0090025
                   3,            0.044035,             0.02068,                   0,              0.9009,             0.84764,              0.9049,             0.46674,            0.034533,            0.013085,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.039531,            0.020482,                   0,             0.88394,             0.82487,             0.89784,             0.41302,            0.035586,            0.012878,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.037147,            0.018141,                   0,               0.921,             0.85814,             0.92146,             0.41045,            0.035044,            0.012815,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.037658,            0.019983,                   0,             0.92255,             0.84413,             0.90865,             0.43614,            0.032558,             0.01338,                   0,            0.007525,            0.007525,            0.007525
                   7,             0.03552,            0.019168,                   0,             0.92297,              0.8813,             0.93603,             0.47984,             0.03046,            0.013016,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.033655,            0.018804,                   0,             0.93826,             0.85174,             0.92058,             0.44563,            0.033973,            0.012559,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.032196,            0.018452,                   0,             0.92827,             0.88384,             0.94029,              0.4657,            0.030882,            0.012572,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.032509,            0.019037,                   0,             0.93728,             0.88977,             0.94259,              0.4904,            0.029679,            0.012873,                   0,            0.005545,            0.005545,            0.005545
                  11,             0.03198,            0.017686,                   0,             0.92967,             0.90018,             0.94363,             0.50364,            0.029468,            0.012588,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.030457,            0.018118,                   0,             0.93157,             0.90599,             0.94178,             0.49021,            0.030327,            0.012306,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.029781,            0.017764,                   0,             0.93262,             0.91594,             0.94517,             0.49765,            0.028849,            0.012465,                   0,             0.00406,             0.00406,             0.00406
                  14,              0.0287,             0.01763,                   0,             0.95495,             0.88967,             0.94009,             0.48134,            0.029957,            0.012647,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.028706,            0.017029,                   0,             0.95362,              0.9002,             0.94724,             0.50251,             0.02922,            0.012218,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.028167,            0.017323,                   0,             0.96572,             0.88802,             0.94343,             0.51321,            0.028379,            0.012575,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.027711,            0.017456,                   0,              0.9377,             0.91243,             0.94374,             0.49994,            0.028424,            0.012353,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.027678,            0.016774,                   0,             0.94703,             0.90368,             0.94539,             0.50597,            0.028744,            0.012355,                   0,            0.001585,            0.001585,            0.001585
                  19,             0.02681,            0.016734,                   0,             0.93978,             0.91068,             0.94504,             0.50561,            0.028822,            0.012161,                   0,             0.00109,             0.00109,             0.00109
